ID,num_slices
Ex_F_00000000,65
Ex_F_00000001,63
Ex_F_00000002,55
Ex_F_00000003,44
Ex_F_00000004,41
Ex_F_00000006,57
Ex_F_00000007,51
Ex_F_00000008,48
Ex_F_00000009,45
Ex_F_00000010,48
Ex_F_00000011,39
Ex_F_00000012,51
Ex_F_00000013,39
Ex_F_00000014,43
Ex_F_00000015,40
Ex_F_00000016,42
Ex_F_00000017,41
Ex_F_00000018,36
Ex_F_00000019,36
Ex_F_00000020,25
Ex_F_00000021,28
Ex_F_00000022,26
Ex_F_00000023,30
Ex_F_00000025,28
Ex_F_00000026,38
Ex_F_00000027,32
Ex_N_00000046,39
Ex_N_00000047,45
Ex_N_00000048,50
Ex_N_00000049,41
Ex_N_00000050,42
Ex_N_00000051,45
Ex_N_00000052,42
Ex_N_00000053,42
Ex_N_00000054,45
Ex_N_00000055,35
Ex_N_00000056,30
Ex_N_00000057,37
Ex_N_00000058,41
Ex_N_00000059,47
Ex_N_00000060,51
Ex_N_00000061,42
Ex_N_00000062,49
Ex_N_00000063,53
Ex_N_00000064,42
Ex_N_00000065,41
Ex_S_00000028,41
Ex_S_00000029,39
Ex_S_00000030,55
Ex_S_00000031,48
Ex_S_00000032,57
Ex_S_00000033,40
Ex_S_00000034,41
Ex_S_00000035,45
Ex_S_00000036,60
Ex_S_00000037,49
Ex_S_00000038,59
Ex_S_00000039,48
Ex_S_00000040,29
Ex_S_00000041,28
Ex_S_00000042,51
Ex_S_00000043,45
Ex_S_00000044,42
Ex_S_00000045,43
